source,target,weight
janimalover,jessicobb,14
ChristophorM,Byroney_WebMD_Staff,3
ChristophorM,GypsyPants,17
ChristophorM,GingerKohler,15
ChristophorM,MANDYROSEVERA,20
ChristophorM,33andADHD,20
33andADHD,GinaPera,43
33andADHD,Byroney_WebMD_Staff,27
33andADHD,33andADHD,82
33andADHD,ChristophorM,36
33andADHD,marsh246,51
33andADHD,KittyKatJenn,29
lmg8690,33andADHD,57
lmg8690,ChristophorM,30
lmg8690,marsh246,40
lmg8690,KittyKatJenn,25
lmg8690,GinaPera,35
lmg8690,Byroney_WebMD_Staff,24
Perryman5000,marsh246,36
Perryman5000,KittyKatJenn,24
Perryman5000,lmg8690,342
Perryman5000,GinaPera,32
Perryman5000,Byroney_WebMD_Staff,22
Perryman5000,33andADHD,49
Perryman5000,ChristophorM,28
linzybinzy,33andADHD,45
linzybinzy,ChristophorM,27
linzybinzy,Perryman5000,615
linzybinzy,marsh246,34
linzybinzy,KittyKatJenn,23
linzybinzy,lmg8690,220
linzybinzy,GinaPera,30
linzybinzy,Byroney_WebMD_Staff,21
ChristophorM,Perryman5000,264
ChristophorM,GinaPera,28
ChristophorM,lmg8690,149
ChristophorM,KittyKatJenn,22
ChristophorM,linzybinzy,463
ChristophorM,marsh246,32
linzybinzy,linzybinzy,331
33andADHD,CaringGF,21
lmg8690,CaringGF,19
Perryman5000,CaringGF,18
linzybinzy,CaringGF,17
ChristophorM,CaringGF,17
Sway35,33andADHD,15
Sway35,teeny79,15
Sway35,ChristophorM,34
Sway35,KittyKatJenn,15
Sway35,GingerKohler,13
ChristophorM,kk5484,18
ChristophorM,TessMesser,17
ChristophorM,1000dfrntdirections,553
1000dfrntdirections,1000dfrntdirections,177
1000dfrntdirections,KittyKatJenn,16
1000dfrntdirections,kk5484,17
1000dfrntdirections,teeny79,16
1000dfrntdirections,33andADHD,13
Dulce316,KittyKatJenn,35
Dulce316,ryan_,34
erica_2010,KittyKatJenn,20
erica_2010,ryan_,20
erica_2010,Dulce316,46
33andADHD,ryan_,19
33andADHD,erica_2010,1392
33andADHD,Dulce316,44
TessMesser,33andADHD,7605
TessMesser,KittyKatJenn,19
TessMesser,erica_2010,1176
TessMesser,ryan_,19
TessMesser,Dulce316,44
Dulce316,kk5484,21
erica_2010,kk5484,14
33andADHD,kk5484,14
TessMesser,kk5484,14
Dulce316,bluefairy75,41
Dulce316,ChristophorM,37
Dulce316,teeny79,38
Dulce316,Byroney_WebMD_Staff,34
Dulce316,GingerKohler,37
ChristophorM,Dulce316,698
ChristophorM,bluefairy75,39
GingerKohler,Dulce316,105
GingerKohler,bluefairy75,29
Dulce316,gramma_sal,21
ChristophorM,gramma_sal,20
GingerKohler,gramma_sal,17
vpritner,lestatsminx,46
ariauna_x,vpritner,109
ariauna_x,lestatsminx,32
choo_chu,ariauna_x,332
choo_chu,vpritner,82
choo_chu,lestatsminx,30
Solano1;,vpritner,54
Solano1;,choo_chu,155
Solano1;,lestatsminx,25
Solano1;,ariauna_x,106
vpritner,rjoshh,18
ariauna_x,rjoshh,16
choo_chu,rjoshh,15
Solano1;,rjoshh,14
stinkerbell13,linzybinzy,870
stinkerbell13,ChristophorM,101
stinkerbell13,33andADHD,43
ChristophorM,stinkerbell13,1101
stinkerbell13,stinkerbell13,803
CarlottaDelRay,stinkerbell13,36
CarlottaDelRay,33andADHD,20
CarlottaDelRay,linzybinzy,35
CarlottaDelRay,ChristophorM,27
ChristophorM,Ashluke,20
33andADHD,Ashluke,19
linzybinzy,Ashluke,17
stinkerbell13,Ashluke,17
CarlottaDelRay,Ashluke,11
GinaPera,Byroney_WebMD_Staff,45
GinaPera,LittleBabyTalk,16
chad1022,ChristophorM,120
chad1022,GingerKohler,88
chad1022,teeny79,85
ChristophorM,chad1022,905
ChristophorM,savvy24,23
chad1022,savvy24,19
33andADHD,BRIANQCP,21
Dulce316,33andADHD,1198
Byroney_WebMD_Staff,33andADHD,562
Byroney_WebMD_Staff,Dulce316,1058
Byroney_WebMD_Staff,Byroney_WebMD_Staff,641
BRIANQCP,ChristophorM,319
BRIANQCP,33andADHD,155
BRIANQCP,Byroney_WebMD_Staff,215
BRIANQCP,Dulce316,178
GingerKohler,33andADHD,96
EARTHANGEL1970,GingerKohler,43
EARTHANGEL1970,Dulce316,31
EARTHANGEL1970,ChristophorM,33
EARTHANGEL1970,33andADHD,30
EARTHANGEL1970,Byroney_WebMD_Staff,32
Dulce316,BRIANQCP,21
Byroney_WebMD_Staff,BRIANQCP,20
ChristophorM,BRIANQCP,20
BRIANQCP,BRIANQCP,19
GingerKohler,BRIANQCP,17
EARTHANGEL1970,BRIANQCP,12
33andADHD,ellen2881,21
vpritner,33andADHD,164
vpritner,ellen2881,18
ChristophorM,sarena1976,20
sarena1976,ChristophorM,1356
