"","i","j","w"
"5850",305,530,2
"5821",305,550,263
"5820",305,616,102
"5816",305,679,141
"5835",305,748,102
"5817",305,767,134
"5837",305,779,200
"5832",305,783,135
"5827",305,818,104
"5533",308,192,2442
"5535",308,215,6431
"5534",308,616,2361
"3140",309,47,72
"3144",309,106,69
"3145",309,154,59
"3141",309,180,63
"3142",309,212,70
"3143",309,392,59
"3152",309,467,4
"1375",312,12,14
"1371",312,114,479
"3277",314,2,682
"3425",314,23,4
"2506",314,47,48
"3202",314,56,5
"3230",314,63,10050
"3229",314,66,1899
"2925",314,78,288
"3476",314,86,1281
"1411",314,100,1
"2901",314,106,111
"2927",314,110,461
"3114",314,116,5
"3422",314,144,4
"1437",314,166,4
"1427",314,169,10811
"2899",314,180,67
"3278",314,189,24098
"2926",314,260,25975
"3279",314,276,758
"2935",314,278,4
"1413",314,279,1
"1428",314,285,17094
"3090",314,291,281
"2902",314,295,52
"3293",314,324,5
"2900",314,392,63
"3318",314,402,779
"1412",314,432,2535
"3215",314,475,1200
"3089",314,525,485
"3483",314,590,4
"3246",314,599,4
"3413",314,601,1717
"1414",314,628,2
"3161",314,633,5
"3333",314,635,4
"3317",314,735,10363
"3091",314,754,19048
"2724",314,813,4
"3510",315,192,90
"3509",315,477,8163
"2787",316,47,4963
"2784",316,172,5
"2782",316,180,1559
"2788",316,279,1564
"2834",316,597,5
"2799",316,776,5
"5325",318,4,1127
"5448",318,38,2
"6051",318,39,358
"5202",318,51,7273
"4426",318,61,28988
"4397",318,80,405465
"4403",318,161,751
"4402",318,168,16000
"4440",318,192,3
"4638",318,215,1914
"6053",318,220,401
"4399",318,264,630
"4429",318,274,4728
"6052",318,349,440
"4427",318,483,4124
"5225",318,486,2
"5402",318,513,2670
"4641",318,527,1528
"5436",318,528,473
"5099",318,530,2
"4401",318,548,1405
"5326",318,576,1068
"4640",318,616,3170
"4400",318,660,68993
"6050",318,667,1120
"4639",318,748,1668
"4428",318,818,5222
"2745",321,2,1240
"2746",321,330,7067
"1379",322,12,250
"1385",322,358,14
"1380",322,462,239
"2410",323,47,127
"2408",323,180,134
"2458",323,266,5
"2409",323,549,4175
"2407",323,559,256
"3284",324,2,225
"3280",324,47,275
"3283",324,169,256
"3285",324,189,331
"3281",324,276,233
"3496",324,301,68993
"3282",324,314,335
"3498",324,552,4
"3286",324,599,238
"5520",325,528,64539
"152",327,101,879
"147",327,114,3724
"148",327,752,7435
"4230",328,51,771
"4229",328,61,673
"4232",328,161,681
"5160",328,211,194
"5162",328,274,197
"5161",328,331,7547
"5164",328,513,2608
"4233",328,616,3
"4231",328,660,586
"5188",328,761,2
"4859",329,61,752
"4875",329,80,679
"4871",329,179,973
"4860",329,192,663
"4858",329,206,844
"4861",329,215,482
"4878",329,220,1018
"4862",329,225,1720
"4867",329,274,714
"4866",329,300,841
"4868",329,318,645
"4879",329,438,911
"4872",329,457,900
"4874",329,483,772
"4877",329,527,453
"5115",329,530,2
"4857",329,542,889
"4864",329,598,906
"4876",329,616,536
"4865",329,675,874
"4863",329,680,1002
"4869",329,748,465
"4873",329,773,865
"4870",329,818,1246
"2744",330,2,1503
"1569",330,6,6
"1586",330,47,4
"1558",330,53,9
"1559",330,91,7
"1578",330,109,10
"1563",330,141,5
"1576",330,180,4
"1564",330,194,5
"1585",330,201,5
"1565",330,205,5
"1568",330,267,9
"1579",330,269,9
"1572",330,275,6
"1574",330,279,5
"2098",330,285,50
"2749",330,321,5
"1584",330,362,5
"2487",330,394,5
"1575",330,424,5
"1587",330,474,4
"1560",330,496,6
"1557",330,517,27
"1583",330,536,5
"1567",330,544,11
"1577",330,602,47
"1573",330,622,5
"1561",330,640,6
"1751",330,685,5
"2099",330,691,50
"1582",330,696,6
"1566",330,701,4
"1581",330,716,6
"1570",330,725,6
"1571",330,747,6
"1562",330,754,6
"1580",330,770,6
"2103",330,825,5
"4119",331,61,296
"4117",331,80,157
"4118",331,161,150
"5156",331,211,199
"5157",331,274,202
"4120",331,660,55
"5186",331,761,2
"4140",331,818,2
"240",334,583,11
"241",334,593,12
"3382",335,103,4
"3371",335,106,1327
"3370",335,169,1386
"3369",335,754,1413
"107",337,8,184
"110",337,489,16
"2193",341,47,249
"2194",341,825,351
"224",342,146,156
"225",342,163,26
"237",342,234,17
"226",342,752,13
"99",346,376,20
"74",346,556,214
"981",347,1,1
"924",347,3,4
"971",347,10,2
"912",347,11,1
"1013",347,12,68
"967",347,25,1
"991",347,28,7
"988",347,29,1
"925",347,30,1
"931",347,33,1
"949",347,36,9
"963",347,57,1
"973",347,72,1
"953",347,73,8
"934",347,95,1
"950",347,108,1
"909",347,112,2
"1354",347,114,17
"955",347,117,2
"996",347,121,2
"1000",347,140,3
"927",347,145,3
"1001",347,156,1
"923",347,157,2
"905",347,159,2
"904",347,170,1
"985",347,184,1
"992",347,190,1
"916",347,193,1
"941",347,227,67
"975",347,233,82
"936",347,235,2
"908",347,241,1
"948",347,242,2
"993",347,248,2
"943",347,251,1
"1004",347,252,1
"994",347,253,6
"926",347,258,2
"915",347,287,1
"964",347,292,2
"983",347,297,9
"907",347,299,1
"932",347,320,1
"976",347,326,1
"914",347,336,9
"940",347,339,2
"954",347,340,1
"956",347,366,7
"957",347,370,1
"922",347,373,1
"917",347,384,2
"939",347,385,1
"999",347,423,2
"965",347,427,3
"1007",347,434,1
"1002",347,441,1
"944",347,443,2
"990",347,450,2
"930",347,478,3
"989",347,487,1
"911",347,495,1
"974",347,509,2
"1005",347,512,1
"978",347,515,2
"929",347,534,1
"910",347,535,9
"970",347,546,1
"984",347,554,1
"980",347,572,1
"1008",347,574,1
"1011",347,578,1
"935",347,580,1
"972",347,591,1
"959",347,611,5
"1014",347,612,1
"998",347,619,1
"946",347,620,1
"977",347,623,1
"952",347,626,2
"958",347,627,2
"921",347,629,5
"938",347,631,1
"920",347,632,2
"1003",347,646,3
"987",347,650,9
"918",347,651,7
"961",347,653,2
"928",347,654,1
"966",347,658,1
"1006",347,669,3
"933",347,674,3
"979",347,677,50
"945",347,678,9
"906",347,710,11
"947",347,712,1
"937",347,718,1
"942",347,730,1
"969",347,732,1
"913",347,739,2
"1009",347,740,2
"1012",347,749,2
"1010",347,768,1
"919",347,801,1
"960",347,802,1
"968",347,803,3
"951",347,804,1
"962",347,819,4
"982",347,820,2
"986",347,824,2
"997",347,826,4
"995",347,827,1
"3782",348,22,630
"3617",348,41,2
"3785",348,418,2
"3604",348,421,198
"3601",348,483,6
"3603",348,814,6
"3602",348,816,9
"5579",349,4,2
"4523",349,39,1052
"4528",349,51,1889
"4520",349,61,3540
"4526",349,80,1159
"4521",349,161,1478
"5988",349,168,603
"4530",349,192,1131
"5573",349,215,135
"6045",349,220,4494
"6044",349,264,1753
"4527",349,274,10363
"5989",349,350,2
"4536",349,483,3
"5908",349,528,3454
"5907",349,550,1411
"4524",349,576,2448
"6031",349,616,733
"4522",349,660,1207
"4529",349,748,1293
"4525",349,755,1390
"5406",349,818,7843
"3526",352,393,2
"3522",352,442,2
"3520",352,787,95
"2511",353,47,38
"2510",353,70,862
"2513",353,169,40
"2512",353,314,179
"2726",353,813,4
"5424",355,61,133531
"5428",355,616,2
"5425",355,660,11300
"5426",355,818,2077
"2420",357,47,71
"2424",357,180,73
"2460",357,266,5
"2423",357,323,162
"2419",357,549,156
"2422",357,559,99
"2421",357,809,167
"296",359,10,2
"293",359,12,21
"279",359,32,3
"297",359,92,2
"301",359,114,1
"291",359,182,1
"292",359,216,1
"284",359,246,1
"289",359,253,2
"280",359,290,2
"285",359,297,5
"302",359,375,14
"287",359,416,2
"278",359,545,4
"281",359,584,2
"290",359,588,2
"288",359,614,2
"277",359,641,18
"282",359,653,2
"298",359,717,2
"283",359,719,1
"286",359,766,4
"299",359,775,1
"294",359,784,5
"295",359,803,3
"300",359,821,1
"5503",360,192,2
"5500",360,483,2384
"5502",360,528,2424
"5501",360,818,2055
"5938",361,61,633
"5944",361,257,2
"5939",361,616,664
"2472",363,45,166
"2475",363,47,187
"2484",363,89,5
"2474",363,118,165
"2473",363,180,204
"2471",363,747,522
"217",365,81,12
"215",365,101,393
"214",365,555,255
"3941",367,39,19
"3933",367,51,19
"3943",367,61,19
"5668",367,80,353
"5665",367,161,421
"3945",367,192,19
"3932",367,209,19
"3944",367,213,19
"3935",367,215,19
"5662",367,220,656
"5667",367,238,2073
"5666",367,419,2677
"3934",367,513,19
"3942",367,518,20
"3940",367,528,19
"4097",367,530,2
"3936",367,595,57
"3931",367,616,20
"3937",367,660,19
"5663",367,679,7380
"3939",367,704,19
"3946",367,748,19
"5664",367,767,2107
"5661",367,783,2328
"3938",367,818,19
"166",371,555,5935
"165",371,558,1947
"3553",372,648,2
"73",376,556,1982
"30",378,297,15
"37",378,541,14
"31",378,558,16
"29",378,670,18
"28",378,756,16
"2818",382,47,537
"2820",382,124,724
"2816",382,169,262
"2819",382,279,251
"2821",382,291,274
"2817",382,295,740
"2815",382,776,622
"5874",386,39,2291
"5872",386,192,2928
"5870",386,264,8889
"5873",386,274,694
"5875",386,576,684
"5871",386,616,815
"2522",387,47,38
"2521",387,70,854
"2520",387,169,40
"2524",387,314,179
"2519",387,353,95310
"NA.1",NA,NA,NA
"2728",387,813,4
"3784",388,22,136
"3640",388,203,21
"3637",388,231,13
"3639",388,259,13
"3783",388,348,173
"3786",388,418,2
"3643",388,577,2
"3638",388,643,24
"3636",388,702,46
"2553",389,47,38
"2552",389,70,791
"NA.2",NA,NA,NA
"2549",389,169,40
"2547",389,171,12121
"2554",389,212,28171
"2556",389,314,176
"2548",389,353,9662
"2551",389,387,10811
"2555",389,746,10695
"2732",389,813,4
"1960",390,47,88
"2056",390,60,70
"1953",390,118,51
"1957",390,132,50
"1954",390,180,40
"1959",390,279,39
"1961",390,281,41
"1962",390,285,39
"2033",390,364,5
"2059",390,458,5
"1958",390,474,39
"1952",390,644,5450
"1956",390,657,112
"1955",390,754,39
"2880",392,47,411
"3130",392,154,105361
"2881",392,169,283
"3059",392,180,1874
"2930",392,278,5
"2879",392,295,280
"3146",392,467,5
"3060",392,754,737
"3083",392,777,5
"1890",395,2,22
"1889",395,47,22
"1895",395,118,22
"1894",395,180,22
"2259",395,474,2963
"2236",395,508,1696
"1892",395,525,22
"1893",395,596,25
"1891",395,728,22
"2271",395,742,5
"1888",395,754,24
"2249",395,759,5
"3595",396,51,3
"3593",396,421,79
"3594",396,560,3
"3597",396,607,2
"3305",398,169,150
"3304",398,279,138
"244",401,617,14
"242",401,752,17
"3313",402,2,1108
"3312",402,475,1552
"3331",402,635,4
"3383",403,103,4
"3374",403,106,864
"3372",403,169,889
"3373",403,335,2478
"3375",403,754,900
"2248",405,2,559
"2244",405,87,1005
"2246",405,180,744
"2245",405,395,460
"2247",405,508,362
"2253",405,759,5
"3694",407,135,46
"3695",407,211,31
"3706",407,222,2
"3692",407,560,47
"3693",407,693,32
"3691",407,705,32
"3690",407,737,49
"4305",414,39,1807
"4307",414,61,630
"4350",414,80,237
"4379",414,161,3
"4347",414,192,215
"4308",414,206,4598
"4348",414,209,314
"4309",414,274,908
"4311",414,527,2312
"4306",414,576,688
"4313",414,616,653
"4312",414,660,704
"4310",414,806,655
"4349",414,818,214
"3001",417,47,152
"3000",417,118,173
"3036",417,169,5
"2999",417,180,161
"2998",417,594,10695
"2996",417,711,163
"2997",417,754,137
"2995",417,774,80043
"3618",418,41,2
"3697",418,135,37
"3698",418,211,27
"3707",418,222,2
"3608",418,348,320
"3696",418,407,186
"3605",418,421,122
"3606",418,483,5
"3701",418,560,38
"3702",418,693,27
"3700",418,705,28
"3699",418,737,39
"3609",418,814,6
"3607",418,816,9
"5631",419,39,504
"5641",419,80,407
"5636",419,161,499
"5633",419,192,407
"5635",419,215,1041
"5639",419,220,868
"5638",419,238,9132
"5630",419,528,1096
"5843",419,530,2
"5637",419,616,409
"5632",419,748,414
"5634",419,767,9950
"5629",419,783,18019
"5640",419,818,436
"2318",420,2,51
"2323",420,47,55
"2324",420,285,50
"2341",420,317,5
"2321",420,559,50
"2322",420,597,113
"2320",420,688,56
"2319",420,754,50
"2317",420,776,108
"3742",421,22,97
"3616",421,41,2
"3592",421,51,4
"3763",421,122,2
"3743",421,259,106
"3599",421,483,6
"3591",421,560,4
"3596",421,607,2
"3744",421,659,96
"3739",421,705,1679
"3741",421,733,107
"3740",421,737,98
"3598",421,814,6
"3600",421,816,9
"3589",422,192,11976
"3577",425,192,538
"1409",432,100,1
"1436",432,166,4
"1407",432,279,1
"1408",432,628,2
"3500",433,379,2
"3499",433,787,15
"2007",435,43,206
"2013",435,47,61
"2004",435,118,41
"2009",435,132,40
"2002",435,167,296
"2005",435,180,34
"2011",435,279,33
"2014",435,281,34
"2015",435,285,33
"2038",435,364,5
"2012",435,390,205
"2010",435,474,33
"2003",435,644,198
"2008",435,657,73
"2006",435,754,33
"4759",438,61,4320
"4754",438,80,2663
"4760",438,192,2436
"4758",438,206,11561
"4761",438,215,1025
"4765",438,274,3295
"4764",438,300,10929
"4766",438,318,2205
"4751",438,457,80043
"4753",438,483,5089
"4756",438,527,903
"5109",438,530,2
"4757",438,542,36368
"4762",438,598,154151
"4755",438,616,1301
"4763",438,675,21506
"4750",438,748,950
"4752",438,773,17094
"2136",439,118,139
"2138",439,501,5
"455",440,114,1747
"3518",442,787,1281
"5236",445,192,331
"5245",445,310,2
"5237",445,576,370
"5240",445,616,10811
"5238",445,660,333
"5741",446,39,243
"5736",446,80,218
"5729",446,161,242
"5743",446,192,218
"5728",446,215,324
"5734",446,220,305
"5744",446,237,3150
"5733",446,238,447
"5731",446,254,1219
"5738",446,367,570
"5732",446,419,470
"5737",446,497,8658
"5740",446,528,329
"5848",446,530,2
"5730",446,616,219
"5745",446,679,530
"5742",446,748,220
"5727",446,767,449
"5739",446,783,458
"5735",446,818,226
"3802",447,51,2
"6007",447,80,15038
"6010",447,139,1068
"6012",447,192,391
"6008",447,211,720
"3796",447,483,1682
"6013",447,498,803
"6014",447,513,461
"6009",447,528,402
"6026",447,530,2
"3797",447,560,731
"6011",447,616,493
"6065",447,660,1461
"3259",449,47,464
"3258",449,180,219
"3260",449,279,241
"3269",449,475,4
"3454",452,415,4
"3811",454,39,2
"3810",454,42,2
"3806",454,540,2
"3808",454,616,2
"3809",454,702,2
"3807",454,790,2
"3854",454,806,3
"2584",456,47,37
"2583",456,70,570
"2581",456,110,2043
"2592",456,169,39
"2590",456,171,1753
"2586",456,212,1907
"2588",456,314,162
"2591",456,353,1688
"2582",456,387,1720
"2589",456,389,2047
"2580",456,709,4662
"2585",456,736,2497
"2587",456,746,1717
"2735",456,813,4
"4722",457,61,4577
"4717",457,80,2759
"4723",457,192,2516
"4721",457,206,13606
"4724",457,215,1039
"4712",457,274,3442
"4711",457,300,12739
"4713",457,318,2270
"4716",457,483,5450
"4719",457,527,914
"5107",457,530,2
"4720",457,542,68993
"4718",457,616,1324
"4725",457,675,29853
"4714",457,748,962
"4715",457,773,21979
"2053",458,60,71
"2055",458,180,76
"2054",458,279,63
"2857",461,174,1002
"327",462,12,45
"414",462,58,17
"334",462,114,21
"345",462,119,17
"328",462,146,27
"333",462,296,30
"1377",462,358,14
"331",462,429,23
"332",462,479,220
"330",462,516,34
"329",462,613,615
"1361",463,265,15
"3168",464,249,2699
"3186",464,261,5
"3169",464,475,2356
"3167",464,711,2920
"2395",465,47,602
"2397",465,413,5
"2394",465,474,639
"3132",467,154,1622
"3131",467,392,1649
"181",469,114,57
"180",469,744,95
"184",469,750,12
"8",472,99,39
"18",472,297,20
"11",472,369,12
"10",472,476,35
"9",472,556,14
"7",472,757,14
"2257",474,47,985
"2288",474,118,1313
"2836",474,169,5
"2255",474,180,2946
"2396",474,413,5
"2286",474,559,182322
"2291",474,682,5
"2258",474,742,5
"2287",474,825,2561
"3311",475,2,3868
"3212",475,47,188
"3213",475,106,914
"3061",475,169,687
"3063",475,180,1496
"3355",475,230,4
"3163",475,261,5
"3257",475,279,1112
"1758",475,282,18349
"3214",475,285,142
"3211",475,291,750
"3218",475,314,4
"3067",475,392,5
"1778",475,409,5
"3261",475,449,13072
"1759",475,474,5
"3390",475,490,4
"3385",475,523,4
"3330",475,635,4
"3062",475,754,671
"3586",477,14,2
"3575",477,75,2
"3502",477,192,92
"3559",477,283,2
"3511",477,315,2
"3555",477,372,94
"3524",477,377,2
"3561",477,408,2
"3545",477,604,2
"3549",477,621,2
"3505",477,624,2
"3557",477,648,2
"3539",477,649,2
"3533",477,681,2
"3516",477,738,2
"3527",477,769,2
"3515",477,787,160
"314",479,12,57
"319",479,114,24
"343",479,119,19
"315",479,146,30
"318",479,296,35
"317",479,429,25
"316",479,516,40
"2757",480,180,743
"2758",480,285,1208
"2760",480,618,3752
"2759",480,688,806
"2777",480,742,5
"5975",481,155,287682
"5977",481,616,24098
"5976",481,748,35091
"2121",482,180,88
"2119",482,228,89
"2122",482,333,99
"2120",482,532,132
"2134",482,625,5
"2118",482,657,139
"5352",483,4,16261
"3770",483,19,2
"3789",483,22,1213
"5451",483,38,2
"4354",483,39,152
"3769",483,51,1273
"4356",483,61,132
"4603",483,62,844
"4352",483,80,226
"6086",483,96,705
"5341",483,115,2
"5395",483,149,323
"4601",483,158,1074
"4381",483,161,2
"4409",483,168,4706
"4489",483,185,3
"4357",483,192,206
"5372",483,195,2
"4358",483,206,161
"4361",483,209,296
"3773",483,211,13245
"4643",483,215,1283
"4600",483,220,309
"3775",483,259,2
"4410",483,264,576
"4359",483,274,141
"4411",483,318,3945
"5177",483,328,1537
"5175",483,331,1278
"5407",483,349,22990
"4353",483,414,166
"5969",483,437,2
"5359",483,470,2
"5231",483,486,2
"5176",483,513,1791
"4363",483,527,155
"5438",483,528,429
"5302",483,529,2
"5100",483,530,2
"4408",483,548,1161
"4483",483,550,547
"5211",483,553,1837
"3790",483,560,1190
"4355",483,576,134
"4365",483,616,133
"4364",483,660,135
"5386",483,667,28988
"5462",483,684,2
"5465",483,743,2
"4644",483,748,1168
"4602",483,755,258
"5191",483,761,2
"5972",483,762,2
"3778",483,764,2
"5488",483,781,2
"4360",483,806,133
"4362",483,818,205
"2202",485,47,172
"2201",485,180,1413
"2214",485,341,5
"2199",485,532,574
"2200",485,825,216
"5217",486,51,767
"5219",486,61,812
"5216",486,161,1162
"5223",486,168,770
"5221",486,192,25975
"5220",486,318,761
"5215",486,483,5571
"5218",486,553,1380
"5224",486,660,753
"5222",486,818,1232
"2698",491,47,34
"2699",491,65,644
"2697",491,70,228
"2700",491,78,418
"2695",491,110,320
"2691",491,169,36
"2689",491,171,312
"2686",491,191,630
"2702",491,212,316
"2685",491,314,114
"2690",491,353,310
"2696",491,387,311
"2688",491,389,320
"2687",491,456,379
"2693",491,647,468
"2694",491,709,351
"2701",491,736,329
"2703",491,746,311
"2692",491,754,699
"2741",491,813,4
"3622",493,259,20
"3623",493,488,3
"3620",493,510,159
"3621",493,560,20
"5712",497,39,250
"5726",497,80,224
"5719",497,161,249
"5714",497,192,224
"5718",497,215,337
"5724",497,220,316
"5715",497,237,4963
"5723",497,238,472
"5721",497,254,1419
"5709",497,367,611
"5722",497,419,497
"5711",497,528,342
"5847",497,530,2
"5720",497,616,224
"5716",497,679,564
"5713",497,748,226
"5717",497,767,473
"5710",497,783,484
"5725",497,818,232
"5998",498,192,761
"5995",498,211,6920
"5994",498,513,1083
"5996",498,528,805
"6025",498,530,2
"5997",498,616,1280
"2235",508,759,5
"4009",513,39,18
"4001",513,51,18
"3994",513,61,18
"5281",513,62,379
"5279",513,80,1063
"5517",513,160,2
"5280",513,161,149
"5180",513,168,8969
"3996",513,192,18
"4000",513,209,18
"5183",513,211,171
"3995",513,213,18
"4003",513,215,18
"5278",513,259,235
"5181",513,274,174
"5419",513,298,2
"5403",513,318,2
"5182",513,328,1465
"5179",513,331,1228
"3998",513,367,473
"5967",513,437,2
"5888",513,459,2
"5178",513,483,31749
"3993",513,518,19
"4008",513,528,18
"5295",513,529,2
"4101",513,530,2
"5890",513,548,19803
"5410",513,553,3150
"5965",513,576,3053
"4004",513,595,51
"3999",513,616,19
"4005",513,660,19
"4007",513,704,18
"3997",513,748,18
"5192",513,761,2
"4006",513,818,18
"3345",514,2,271
"3344",514,63,705
"3347",514,118,786
"3346",514,169,317
"3359",514,230,4
"3348",514,475,294
"3388",514,523,4
"3386",514,754,7843
"3350",522,2,267
"3395",522,47,4454
"3349",522,63,679
"3353",522,118,754
"3352",522,169,312
"3360",522,230,4
"3354",522,475,289
"3351",522,514,18349
"3365",522,754,942
"276",524,15,20
"275",524,114,1
"274",524,247,28
"272",524,297,7
"273",524,526,7
"3113",525,116,5
"3087",525,169,985
"3086",525,285,1921
"3088",525,291,669
"3081",525,392,5195
"3082",525,754,667
"3084",525,777,5
"4288",527,39,8299
"4172",527,51,2265
"4291",527,61,866
"4377",527,161,3
"4167",527,192,148
"4170",527,206,167
"4290",527,274,1494
"4165",527,315,518
"4634",527,530,3
"4173",527,548,199
"4174",527,550,165
"4169",527,566,207
"4289",527,576,979
"4195",527,609,3
"4171",527,616,142
"4292",527,660,1013
"4168",527,806,2797
"4166",527,818,169
"5852",528,4,770
"6092",528,7,2
"5864",528,21,2
"5452",528,38,2
"4201",528,39,543
"4203",528,51,188
"5440",528,61,384
"5589",528,80,1503
"4202",528,98,413
"6003",528,139,1245
"5516",528,160,2
"4200",528,161,179
"4199",528,168,188
"4207",528,192,3
"6063",528,198,2
"4206",528,206,184
"6002",528,211,796
"5442",528,215,404
"5595",528,220,4175
"5792",528,237,987
"5798",528,238,341
"5796",528,254,660
"5439",528,264,757
"5799",528,274,3992
"5443",528,318,2509
"5519",528,325,2
"5909",528,349,9756
"5801",528,367,408
"5922",528,404,2
"5797",528,419,354
"5795",528,446,1438
"5441",528,483,2829
"5800",528,497,1232
"6001",528,498,899
"5949",528,500,2
"5973",528,513,1229
"5839",528,530,2
"5592",528,548,2
"5906",528,550,2384
"5926",528,576,2094
"5429",528,616,3992
"6057",528,656,2
"4205",528,660,218
"5793",528,679,387
"5552",528,748,74108
"5794",528,767,342
"5791",528,779,2130
"5802",528,783,347
"4204",528,806,530
"4198",528,818,429
"5328",529,39,1691
"4127",529,61,195
"5287",529,62,322
"4129",529,80,123
"4126",529,161,119
"5261",529,192,333
"5293",529,220,375
"5268",529,259,1696
"4125",529,331,567
"5288",529,483,3992
"5260",529,513,402
"5286",529,530,848
"5259",529,616,418
"4128",529,660,50
"4141",529,818,2
"3985",530,39,18
"3906",530,51,4
"3983",530,61,19
"5277",530,62,519
"3901",530,80,3035
"4092",530,161,296
"3905",530,168,703
"3907",530,192,4
"4709",530,206,15038
"3988",530,209,19
"3992",530,213,19
"3908",530,215,4
"5670",530,220,652
"5674",530,238,2039
"5276",530,259,283
"3899",530,274,4
"3898",530,289,695
"4705",530,300,13986
"4707",530,318,2307
"3986",530,367,685
"5673",530,419,2621
"4726",530,457,405465
"3903",530,483,4
"3989",530,513,18
"3982",530,518,20
"4710",530,527,920
"3900",530,528,4
"5301",530,529,2
"4708",530,542,133531
"3915",530,550,2
"3990",530,595,52
"3987",530,616,19
"3991",530,660,19
"4091",530,667,1705
"4704",530,675,37740
"5671",530,679,6969
"3984",530,704,18
"3981",530,748,18
"5672",530,767,2073
"4706",530,773,25975
"5669",530,783,2286
"3902",530,785,4
"3904",530,818,4
"3004",531,47,152
"3003",531,118,173
"3037",531,169,5
"3009",531,180,161
"3002",531,417,133531
"3008",531,594,9852
"3006",531,711,163
"3007",531,754,137
"3005",531,774,48790
"2196",532,47,246
"2106",532,180,264
"2105",532,228,273
"2104",532,333,392
"2212",532,341,5
"2130",532,625,5
"2195",532,825,347
"5946",533,616,22990
"2848",537,47,917
"2844",537,66,2345
"2853",537,169,5
"2861",537,174,5
"3042",537,268,5
"2849",537,474,328
"2847",537,747,592
"2845",537,754,602
"2846",537,776,1147
"4702",542,61,4890
"4698",542,80,2878
"4703",542,192,2608
"4701",542,206,16807
"4690",542,215,1054
"4693",542,274,3617
"4692",542,300,15504
"4694",542,318,2345
"4697",542,483,5900
"4700",542,527,925
"5106",542,530,2
"4699",542,616,1349
"4691",542,675,51293
"4695",542,748,975
"4696",542,773,31749
"222",547,665,18
"221",547,669,8
"5541",548,9,2
"4442",548,39,3
"5584",548,51,6270
"4486",548,61,600
"4609",548,80,3
"4383",548,161,1614
"4488",548,185,3
"5199",548,187,2
"4252",548,192,3
"4485",548,206,536
"5568",548,211,60625
"5540",548,215,659
"4555",548,220,806
"4384",548,264,1142
"4553",548,274,503
"5377",548,318,2454
"5396",548,483,2
"5590",548,528,463
"4481",548,550,782
"5367",548,557,2
"4552",548,576,614
"5363",548,616,112
"6059",548,656,2
"5376",548,660,1380
"4251",548,748,1500
"4554",548,755,531
"4556",548,818,517
"2404",549,47,131
"2406",549,180,138
"2457",549,266,5
"2405",549,559,273
"4022",550,39,18
"4014",550,51,18
"4024",550,61,18
"5806",550,80,167
"5978",550,155,165
"4067",550,161,1217
"4026",550,192,18
"4163",550,206,170
"4013",550,209,18
"4025",550,213,18
"4016",550,215,18
"5814",550,220,213
"5808",550,237,576
"5810",550,238,274
"5812",550,254,447
"4066",550,274,1533
"4162",550,315,553
"5553",550,318,1237
"5910",550,349,1657
"4011",550,367,319
"5809",550,419,282
"5811",550,446,704
"5981",550,481,2
"5914",550,483,2
"5803",550,497,652
"4015",550,513,18
"4023",550,518,19
"4021",550,528,18
"4102",550,530,2
"4161",550,548,204
"4164",550,566,212
"4240",550,576,7220
"4017",550,595,48
"4194",550,609,3
"4012",550,616,19
"4018",550,660,18
"4095",550,667,132
"5804",550,679,302
"4020",550,704,18
"4010",550,748,18
"5805",550,767,274
"5807",550,779,839
"5813",550,783,278
"4160",550,806,4228
"4019",550,818,18
"4248",550,822,3
"3463",552,118,11173
"3402",552,180,1521
"3458",552,415,4
"3456",552,452,1019
"3403",552,754,634
"5205",553,51,1729
"5206",553,61,1974
"5204",553,161,7326
"5209",553,168,1744
"5409",553,192,2601
"5418",553,298,2
"5207",553,318,1699
"5230",553,486,2
"5210",553,660,1660
"5208",553,818,11561
"213",555,81,12
"175",555,371,15
"164",555,558,2903
"209",555,683,12
"212",555,715,12
"61",556,256,22
"52",556,297,208
"72",556,376,22
"55",556,606,448
"115",556,687,18
"53",556,744,3361
"54",556,752,183
"5362",557,61,139
"5364",557,548,622
"5361",557,616,138
"109",558,8,155
"144",558,97,14
"138",558,101,91
"197",558,114,804
"139",558,277,54067
"108",558,337,960
"163",558,371,16
"158",558,428,16
"111",558,489,16
"169",558,555,135
"204",558,569,12
"190",558,639,14
"207",558,683,12
"157",558,752,585
"171",558,756,734
"137",558,810,193
"2204",559,47,167
"2285",559,118,1322
"2178",559,132,41
"2182",559,164,5
"2175",559,169,647
"2871",559,174,5
"2203",559,180,1136
"2456",559,266,5
"2278",559,281,1345
"2293",559,285,6270
"2335",559,317,5
"2215",559,341,5
"3040",559,343,5
"2176",559,474,42
"2206",559,485,5797
"2205",559,532,523
"2862",559,537,48790
"2290",559,682,5
"2177",559,754,74108
"2345",559,758,690
"2279",559,789,5
"2207",559,825,208
"3714",560,22,40822
"3794",560,51,2
"4234",560,61,1446
"5338",560,115,2
"3757",560,122,2
"3685",560,135,2176
"5334",560,192,17094
"5368",560,195,2
"3686",560,211,91
"3704",560,222,2
"3805",560,388,2
"3799",560,447,287682
"3798",560,483,1674
"4235",560,576,1405
"4236",560,616,3
"3723",560,659,87011
"3684",560,693,96
"3715",560,702,6689
"3683",560,705,102
"3766",560,713,2
"3717",560,751,2
"3709",560,782,3
"3803",560,805,2
"3221",562,169,204
"3220",562,180,323
"2361",568,47,181
"2364",568,180,214
"2363",568,181,170
"2360",568,285,754
"2362",568,722,242
"256",569,52,70
"255",569,146,38
